﻿时间,收盘点位,市值,PB(加权平均值)
2018-04-04,2860.96,13060607222478.7,1.1018
2018-04-03,2864.57,13087823385231.8,1.1041
2018-04-02,2895.96,13188673496153.102,1.1128
2018-03-30,2919.01,13368581008435.102,1.128
2018-03-29,2919.41,13428778226872.902,1.1376
2018-03-28,2876.48,13177971663897.701,1.1195
2018-03-27,2912.97,13286911693307.201,1.1359
2018-03-26,2903.31,13306839540028.002,1.1401
2018-03-23,2937.09,13732072053455.5,1.1795
2018-03-22,3008.69,14009474671419.906,1.2039
2018-03-21,3028.39,14093556522705.6,1.2111
2018-03-20,3033.19,14127462509756.602,1.2141
2018-03-19,3027.69,14000996869760.398,1.2032
2018-03-16,3041.48,13948017195678.9,1.1987
2018-03-15,3065.34,14099920600441.701,1.2118
2018-03-14,3066.81,14067831241289.701,1.209
2018-03-13,3076.26,14147762557473.201,1.2158
2018-03-12,3088.13,14127860642428.502,1.2141
2018-03-09,3085.14,14182882983690.098,1.2182
2018-03-08,3078.45,14172049061634.701,1.2173
2018-03-07,3065.7,14204837232062.402,1.2207
2018-03-06,3072.82,14133262952564,1.2146
2018-03-05,3047.26,14113702674188.299,1.2129
2018-03-02,3044.76,14152570518447.3,1.2163
2018-03-01,3050.07,14221362171074.402,1.2222
2018-02-28,3049.25,14230895436928.102,1.223
2018-02-27,3078.97,14463790709370.8,1.243
2018-02-26,3123.34,14810614066742.305,1.2728
2018-02-23,3096.04,14780242710582.2,1.2702
2018-02-22,3084.18,14688244621772.5,1.2623
2018-02-14,3018.66,14334893302775.201,1.2319
2018-02-13,3015.59,14265514303319.8,1.226
2018-02-12,2975.95,14013583210066.998,1.2043
2018-02-09,2973.39,14156389666584.5,1.2166
2018-02-08,3091,14621963690160.102,1.2566
2018-02-07,3149.07,15188743394858.502,1.3053
2018-02-06,3217.04,15818500999310.305,1.3594
2018-02-05,3293.46,16128189818315.2,1.386
2018-02-02,3241.99,15729258579004.2,1.3517
2018-02-01,3211.97,15677751067392.299,1.3473
2018-01-31,3217.72,15455369727860.8,1.3282
2018-01-30,3222.98,15263492223129.8,1.3088
2018-01-29,3257.97,15541924946459.3,1.3327
2018-01-26,3279.41,15607755094494.502,1.3383
2018-01-25,3251.4,15514123789106.299,1.3303
2018-01-24,3265.14,15614201761188.4,1.3389
2018-01-23,3257.17,15634702569955.4,1.3406
2018-01-22,3201.89,15064340788311,1.2917
2018-01-19,3181.03,15062802153941.9,1.2916
2018-01-18,3168.76,14951843717720.9,1.2821
2018-01-17,3140.63,14521450526325.701,1.2452
2018-01-16,3137.04,14394024900173.805,1.2342
2018-01-15,3109.71,14295404791321.3,1.2258
2018-01-12,3117.06,14079221398973.3,1.2072
2018-01-11,3108.17,14005118617603,1.2009
2018-01-10,3115.52,13944157380551.5,1.1957
2018-01-09,3100.45,13718777637701.1,1.1763
2018-01-08,3107.42,13755954076835.201,1.1795
2018-01-05,3077.68,13722655865869,1.1767
2018-01-04,3053.53,13635355458055.803,1.1692
2018-01-03,3048.59,13654902389106.799,1.1709
2018-01-02,3039.24,13635470645753.4,1.1692
2017-12-29,2993.99,13479490497772.803,1.1558
2017-12-28,2977.95,13381450931827.9,1.1474
2017-12-27,2965.43,13320181173360.701,1.1422
2017-12-26,2982.88,13428375662829.197,1.1514
2017-12-25,2964.52,13294970040002.3,1.14
2017-12-22,2964.06,13222124774613.201,1.1338
2017-12-21,2964.3,13228947262110.898,1.1369
2017-12-20,2952.46,13213175498915.3,1.1355
2017-12-19,2956.97,13200242141038.102,1.1344
2017-12-18,2933.08,13040954334733.4,1.1207
2017-12-15,2925.48,12959222295471.701,1.1137
2017-12-14,2950.89,13073111254990,1.1235
2017-12-13,2962.8,13134282261269.4,1.1287
2017-12-12,2942.59,13037044421341.102,1.1204
2017-12-11,2978.41,13195876816083.898,1.134
2017-12-08,2954.49,13637445048329.8,1.1419
2017-12-07,2959.45,13691096142089.4,1.1464
2017-12-06,2986.66,13824279752683.303,1.1576
2017-12-05,3012.61,13945290276167.1,1.1677
2017-12-04,2982.68,13695666757392,1.1468
2017-12-01,2979.62,13669544172769.203,1.1446
2017-11-30,2986.05,13762962963303.5,1.1525
2017-11-29,3002.8,13808843419155.2,1.1563
2017-11-28,3004.42,13781638155031.3,1.154
2017-11-27,3013.76,13916518026359.8,1.1653
2017-11-24,3032.37,14011140192296.6,1.1732
2017-11-23,3043.47,14052303847136.201,1.1767
2017-11-22,3113.41,14278170894028.5,1.1956
2017-11-21,3092.98,13971179725964.701,1.1699
2017-11-20,3069.23,13945201903267.402,1.1677
2017-11-17,3052.45,13831232073267.398,1.1582
2017-11-16,3010.11,13495104740290.9,1.13
2017-11-15,3011.11,13550386049280.8,1.1347
2017-11-14,3035.28,13591664537599.2,1.1381
2017-11-13,3046.67,13610385300586.7,1.1397
2017-11-10,3018.95,13482819563660.398,1.129
2017-11-09,3007.71,13591321746844.803,1.1381
2017-11-08,2991.81,13627750020270.5,1.1411
2017-11-07,2984.09,13620966535194.1,1.1406
2017-11-06,2963.65,13514800368481.701,1.1317
2017-11-03,2956.19,13591754376534.5,1.1381
2017-11-02,2962.92,13600487026328.4,1.1388
2017-11-01,2966.67,13599916112888.102,1.1388
2017-10-31,2987.85,13668901447257.201,1.1446
2017-10-30,3002.89,13816735441436,1.203
2017-10-27,3006.46,13759644191435.195,1.2135
2017-10-26,2991.84,13592666485594.2,1.2064
2017-10-25,2999.36,13718262487800.1,1.218
2017-10-24,2996.35,13771352931656.4,1.2235
2017-10-23,2973.32,13678341664703.602,1.2154
2017-10-20,2979.23,13772672882412.1,1.2237
2017-10-19,2981.6,13865605797774.9,1.232
2017-10-18,2976.42,13806509325451.805,1.2268
2017-10-17,2944.18,13609265710356.303,1.2092
2017-10-16,2950.38,13669888256124,1.2146
2017-10-13,2952.06,13566209826272.1,1.2054
2017-10-12,2956.62,13631978745607.201,1.2112
2017-10-11,2951.95,13654709691977.3,1.2133
2017-10-10,2942.78,13569283425481.7,1.2057
2017-10-09,2947.16,13549645187353.2,1.2039
2017-09-29,2919.67,13455663032387.404,1.1956
2017-09-28,2916.99,13480120453340.2,1.1978
2017-09-27,2921.58,13486684898602.602,1.1983
2017-09-26,2919.62,13577786050874,1.2064
2017-09-25,2924.71,13609737645433.602,1.2088
2017-09-22,2924.95,13494766200966.6,1.1986
2017-09-21,2916.08,13434211423704.3,1.1932
2017-09-20,2906.57,13290507768228.898,1.1804
2017-09-19,2901.42,13301966235161.701,1.1802
2017-09-18,2899.12,13260547910542.201,1.1765
2017-09-15,2891.72,13303278489261.8,1.1803
2017-09-14,2902.98,13395814591439.3,1.1885
2017-09-13,2915.41,13512144926105.398,1.1988
2017-09-12,2920.6,13551947111559.9,1.2024
2017-09-11,2907.69,13485277608276.803,1.1965
2017-09-08,2905.61,13503521525393.701,1.1981
2017-09-07,2905.38,13513321105023.898,1.1989
2017-09-06,2913.67,13594082313892.203,1.2061
2017-09-05,2918.94,13641124842638.902,1.2103
2017-09-04,2913.56,13514975178200.3,1.1991
2017-09-01,2906.25,13405684704187.201,1.191
2017-08-31,2904.41,13545611696927.006,1.1972
2017-08-30,2921.6,13672258237889.3,1.2119
2017-08-29,2931.23,13777471412188.803,1.2264
2017-08-28,2930.51,13723082039659.602,1.2227
2017-08-25,2920.14,13747466827475.201,1.2238
2017-08-24,2873.95,13390515573932.7,1.1916
2017-08-23,2875.59,13348096110894.299,1.1878
2017-08-22,2872.06,13206619572319.9,1.1761
2017-08-21,2865.65,13131472319370.102,1.1699
2017-08-18,2856.8,13105127790079.402,1.1695
2017-08-17,2851.74,13117008635872.102,1.1706
2017-08-16,2836.92,13078652837469.5,1.1671
2017-08-15,2847.96,13131639728567.5,1.1719
2017-08-14,2826.98,12950801659252.5,1.1557
2017-08-11,2821,12985797438246.602,1.1589
2017-08-10,2863.65,13090009859884.098,1.1688
2017-08-09,2869.25,13115373801143.3,1.171
