﻿时间,收盘点位,市值,PE-TTM(加权平均值)
2018-04-04,2860.96,13060607222478.7,8.3543
2018-04-03,2864.57,13087823385231.8,8.3717
2018-04-02,2895.96,13188673496153.102,8.4333
2018-03-30,2919.01,13368581008435.102,8.5448
2018-03-29,2919.41,13428778226872.902,8.5863
2018-03-28,2876.48,13177971663897.701,8.4278
2018-03-27,2912.97,13286911693307.201,8.5511
2018-03-26,2903.31,13306839540028.002,8.5904
2018-03-23,2937.09,13732072053455.5,8.8749
2018-03-22,3008.69,14009474671419.906,9.0746
2018-03-21,3028.39,14093556522705.6,9.1291
2018-03-20,3033.19,14127462509756.602,9.151
2018-03-19,3027.69,14000996869760.398,9.0691
2018-03-16,3041.48,13948017195678.9,9.035
2018-03-15,3065.34,14099920600441.701,9.1334
2018-03-14,3066.81,14067831241289.701,9.1126
2018-03-13,3076.26,14147762557473.201,9.1615
2018-03-12,3088.13,14127860642428.502,9.1486
2018-03-09,3085.14,14182882983690.098,9.1663
2018-03-08,3078.45,14172049061634.701,9.1593
2018-03-07,3065.7,14204837232062.402,9.2012
2018-03-06,3072.82,14133262952564,9.1548
2018-03-05,3047.26,14113702674188.299,9.1421
2018-03-02,3044.76,14152570518447.3,9.1646
2018-03-01,3050.07,14221362171074.402,9.2091
2018-02-28,3049.25,14230895436928.102,9.2153
2018-02-27,3078.97,14463790709370.8,9.3661
2018-02-26,3123.34,14810614066742.305,9.5907
2018-02-23,3096.04,14780242710582.2,9.5711
2018-02-22,3084.18,14688244621772.5,9.5115
2018-02-14,3018.66,14334893302775.201,9.2827
2018-02-13,3015.59,14265514303319.8,9.2377
2018-02-12,2975.95,14013583210066.998,9.0746
2018-02-09,2973.39,14156389666584.5,9.1671
2018-02-08,3091,14621963690160.102,9.4686
2018-02-07,3149.07,15188743394858.502,9.8356
2018-02-06,3217.04,15818500999310.305,10.2434
2018-02-05,3293.46,16128189818315.2,10.4439
2018-02-02,3241.99,15729258579004.2,10.1856
2018-02-01,3211.97,15677751067392.299,10.1522
2018-01-31,3217.72,15455369727860.8,10.0082
2018-01-30,3222.98,15263492223129.8,9.884
2018-01-29,3257.97,15541924946459.3,10.0643
2018-01-26,3279.41,15607755094494.502,10.1069
2018-01-25,3251.4,15514123789106.299,10.0463
2018-01-24,3265.14,15614201761188.4,10.1111
2018-01-23,3257.17,15634702569955.4,10.1244
2018-01-22,3201.89,15064340788311,9.755
2018-01-19,3181.03,15062802153941.9,9.754
2018-01-18,3168.76,14951843717720.9,9.6822
2018-01-17,3140.63,14521450526325.701,9.4035
2018-01-16,3137.04,14394024900173.805,9.321
2018-01-15,3109.71,14295404791321.3,9.2571
2018-01-12,3117.06,14079221398973.3,9.1171
2018-01-11,3108.17,14005118617603,9.0691
2018-01-10,3115.52,13944157380551.5,9.0296
2018-01-09,3100.45,13718777637701.1,8.8837
2018-01-08,3107.42,13755954076835.201,8.9078
2018-01-05,3077.68,13722655865869,8.8862
2018-01-04,3053.53,13635355458055.803,8.8297
2018-01-03,3048.59,13654902389106.799,8.8423
2018-01-02,3039.24,13635470645753.4,8.8297
2017-12-29,2993.99,13479490497772.803,8.7287
2017-12-28,2977.95,13381450931827.9,8.6653
2017-12-27,2965.43,13320181173360.701,8.6256
2017-12-26,2982.88,13428375662829.197,8.6956
2017-12-25,2964.52,13294970040002.3,8.6093
